channel_id,label,heuristic_disagreement,is_simulated
SIM-0000,0,False,True
SIM-0001,0,False,True
SIM-0002,0,False,True
SIM-0003,0,False,True
SIM-0004,1,True,True
SIM-0005,0,False,True
SIM-0006,0,False,True
SIM-0007,1,True,True
SIM-0008,0,False,True
SIM-0009,0,False,True
SIM-0010,0,False,True
SIM-0011,0,False,True
SIM-0012,1,True,True
SIM-0013,0,False,True
SIM-0014,0,False,True
SIM-0015,0,False,True
SIM-0016,0,False,True
SIM-0017,1,True,True
SIM-0018,0,False,True
SIM-0019,0,False,True
SIM-0020,0,False,True
SIM-0021,0,False,True
SIM-0022,0,False,True
SIM-0023,0,False,True
SIM-0024,0,False,True
SIM-0025,0,False,True
SIM-0026,1,True,True
SIM-0027,0,False,True
SIM-0028,0,False,True
SIM-0029,1,True,True
SIM-0030,0,False,True
SIM-0031,0,False,True
SIM-0032,0,False,True
SIM-0033,0,False,True
SIM-0034,0,False,True
SIM-0035,1,True,True
SIM-0036,0,False,True
SIM-0037,0,False,True
SIM-0038,1,True,True
SIM-0039,0,False,True
SIM-0040,0,False,True
SIM-0041,0,False,True
SIM-0042,0,False,True
SIM-0043,0,False,True
SIM-0044,0,False,True
SIM-0045,0,False,True
SIM-0046,0,False,True
SIM-0047,0,False,True
SIM-0048,0,False,True
SIM-0049,0,False,True
SIM-0050,0,False,True
SIM-0051,0,False,True
SIM-0052,0,False,True
SIM-0053,0,False,True
SIM-0054,0,False,True
SIM-0055,0,False,True
SIM-0056,0,False,True
SIM-0057,0,False,True
SIM-0058,0,False,True
SIM-0059,1,True,True
SIM-0060,0,False,True
SIM-0061,0,False,True
SIM-0062,0,False,True
SIM-0063,1,True,True
SIM-0064,0,False,True
SIM-0065,0,False,True
SIM-0066,0,False,True
SIM-0067,0,False,True
SIM-0068,0,False,True
SIM-0069,0,False,True
SIM-0070,0,False,True
SIM-0071,0,False,True
SIM-0072,0,False,True
SIM-0073,0,False,True
SIM-0074,0,False,True
SIM-0075,1,True,True
SIM-0076,0,False,True
SIM-0077,0,False,True
SIM-0078,0,False,True
SIM-0079,1,True,True
SIM-0080,0,False,True
SIM-0081,0,False,True
SIM-0082,0,False,True
SIM-0083,0,False,True
SIM-0084,0,False,True
SIM-0085,0,False,True
SIM-0086,0,False,True
SIM-0087,0,False,True
SIM-0088,0,False,True
SIM-0089,0,False,True
SIM-0090,0,False,True
SIM-0091,0,False,True
SIM-0092,0,False,True
SIM-0093,0,False,True
SIM-0094,0,False,True
SIM-0095,0,False,True
SIM-0096,0,False,True
SIM-0097,0,False,True
SIM-0098,0,False,True
SIM-0099,0,False,True
SIM-0100,0,False,True
SIM-0101,0,False,True
SIM-0102,0,False,True
SIM-0103,0,False,True
SIM-0104,0,False,True
SIM-0105,0,False,True
SIM-0106,0,False,True
SIM-0107,0,False,True
SIM-0108,0,False,True
SIM-0109,0,False,True
SIM-0110,0,False,True
SIM-0111,0,False,True
SIM-0112,0,False,True
SIM-0113,0,False,True
SIM-0114,0,False,True
SIM-0115,0,False,True
SIM-0116,0,False,True
SIM-0117,0,False,True
SIM-0118,0,False,True
SIM-0119,0,False,True
SIM-0120,0,False,True
SIM-0121,0,False,True
SIM-0122,0,False,True
SIM-0123,0,False,True
SIM-0124,0,False,True
SIM-0125,0,False,True
SIM-0126,0,False,True
SIM-0127,0,False,True
SIM-0128,0,False,True
SIM-0129,0,False,True
SIM-0130,0,False,True
SIM-0131,0,False,True
SIM-0132,1,True,True
SIM-0133,0,False,True
SIM-0134,1,False,True
SIM-0135,0,True,True
SIM-0136,1,False,True
SIM-0137,1,False,True
SIM-0138,1,False,True
SIM-0139,1,False,True
SIM-0140,1,False,True
SIM-0141,1,False,True
SIM-0142,0,True,True
SIM-0143,1,False,True
SIM-0144,1,False,True
SIM-0145,0,True,True
SIM-0146,1,False,True
SIM-0147,1,False,True
SIM-0148,1,False,True
SIM-0149,1,False,True
SIM-0150,0,True,True
SIM-0151,1,False,True
SIM-0152,0,True,True
SIM-0153,0,True,True
SIM-0154,0,True,True
SIM-0155,1,False,True
SIM-0156,1,False,True
SIM-0157,0,True,True
SIM-0158,1,False,True
SIM-0159,1,False,True
SIM-0160,1,False,True
SIM-0161,0,True,True
SIM-0162,1,False,True
SIM-0163,1,False,True
SIM-0164,1,False,True
SIM-0165,1,False,True
SIM-0166,1,False,True
SIM-0167,0,True,True
SIM-0168,1,False,True
SIM-0169,1,False,True
SIM-0170,1,False,True
SIM-0171,1,False,True
SIM-0172,1,False,True
SIM-0173,1,False,True
SIM-0174,1,False,True
SIM-0175,1,False,True
SIM-0176,1,False,True
SIM-0177,1,False,True
SIM-0178,1,False,True
SIM-0179,1,False,True
SIM-0180,1,False,True
SIM-0181,1,False,True
SIM-0182,1,False,True
SIM-0183,0,True,True
SIM-0184,1,False,True
SIM-0185,1,False,True
SIM-0186,0,False,True
SIM-0187,1,False,True
SIM-0188,1,False,True
SIM-0189,1,False,True
SIM-0190,1,False,True
SIM-0191,1,False,True
SIM-0192,1,False,True
SIM-0193,1,False,True
SIM-0194,1,False,True
SIM-0195,1,False,True
SIM-0196,1,False,True
SIM-0197,1,False,True
SIM-0198,1,False,True
SIM-0199,1,False,True
